Category,Name,Variant Name,Price,URL
b'Earrings',b'Flow - Platinum Plated Sterling Silver and White Topaz Earrings',b'',b'205.00',b'https://completedworks.com//products/platinum-plated-sterling-silver-and-white-topaz-earrings'
b'Earrings',b'Deep State - Gold Vermeil Ear Cuff',b'',b'215.00',b'https://completedworks.com//products/deep-state-gold-vermeil-ear-cuff'
b'Earrings',b'No Easy Answers to Existential Questions - Gold Vermeil and Pearl Pendant',b'',b'215.00',b'https://completedworks.com//products/no-easy-answers-to-existential-questions-gold-vermeil-and-pearl-pendant'
b'Earrings',"b""What A Fool I've Been! - Gold Vermeil Ear Cuff""",b'',b'135.00',b'https://completedworks.com//products/what-a-fool-ive-been-gold-vermeil-ear-cuff'
b'Earrings',b'Puzzled - Gold Vermeil Ear Cuff',b'',b'195.00',b'https://completedworks.com//products/puzzled-gold-vermeil-ear-cuff-1'
b'Earrings',b'A Parable on Frozen Time - Gold Vermeil and Freshwater Pearl Ear Climber',b'',b'265.00',b'https://completedworks.com//products/a-parable-on-frozen-time-gold-vermeil-and-freshwater-pearl-ear-climber'
b'Earrings',b'A Footnote to a Manifesto - Gold Vermeil and Pearl Ear Cuff',b'',b'235.00',b'https://completedworks.com//products/a-footnote-to-a-manifesto-gold-vermeil-and-pearl-ear-cuff'
b'Earrings',"b'Wibble, Wobble - Gold Vermeil Earrings'",b'',b'255.00',b'https://completedworks.com//products/wibble-wobble-gold-vermeil-earrings'
b'Earrings',b'A Collision With Fate - Gold Vermeil Earrings',b'',b'325.00',b'https://completedworks.com//products/a-collision-with-fate-gold-vermeil-earrings'
b'Earrings',b'The Transit of Venus - Gold Vermeil and White Topaz Earrings',b'',b'495.00',b'https://completedworks.com//products/copy-of-ss21-c14'
b'Rings',b'Crunched: A Tale of Abandoned Legal Strategies - Gold Vermeil Ring',b'Small - In stock',b'295.00',b'https://completedworks.com//products/ss21-r2096m'
b'Rings',b'Crunched: A Tale of Abandoned Legal Strategies - Gold Vermeil Ring',b'Medium - In stock',b'295.00',b'https://completedworks.com//products/ss21-r2096m'
b'Rings',b'Crunched: A Tale of Abandoned Legal Strategies - Gold Vermeil Ring',b'Large - In stock',b'295.00',b'https://completedworks.com//products/ss21-r2096m'
b'Earrings',b'Scoop - Gold Vermeil and White Topaz Earrings',b'',b'220.00',b'https://completedworks.com//products/scoop-gold-vermeil-and-white-topaz-earrings'
b'Necklace',b'Flux - Gold Vermeil Necklace',b'',b'155.00',b'https://completedworks.com//products/flux-gold-vermeil-necklace'
b'Earrings',b'Flux - Gold Vermeil Earrings',b'',b'315.00',b'https://completedworks.com//products/flux-gold-vermeil-earrings'
b'Rings',b'Why Am I Here And Not Somewhere Else - Gold Vermeil Ring',b'Small - In stock',b'250.00',b'https://completedworks.com//products/ss21-c11m'
b'Rings',b'Why Am I Here And Not Somewhere Else - Gold Vermeil Ring',b'Medium - In stock',b'250.00',b'https://completedworks.com//products/ss21-c11m'
b'Rings',b'Why Am I Here And Not Somewhere Else - Gold Vermeil Ring',b'Large  - In stock',b'250.00',b'https://completedworks.com//products/ss21-c11m'
b'Earrings',b'Notsobig Scrunch - Gold Vermeil Earrings',b'',b'285.00',b'https://completedworks.com//products/notsobig-scrunch-gold-vermeil-earring'
b'Earrings',b'Crunched: A Tale of Abandoned Legal Strategies - Gold Vermeil Earrings',b'',b'365.00',b'https://completedworks.com//products/crunched-gold-vermeil-earrings'
b'Bracelet',"b""The State We're In - Pearl and Gold Vermeil Bracelet""",b'',b'325.00',b'https://completedworks.com//products/the-state-were-in-pearl-and-gold-vermeil-bracelet'
b'Necklace',b'Classicworks\xe2\x84\xa2 U - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-u-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 V - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-v-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 W - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-w-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 X - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-x-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 Y - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-y-recycled-sterling-silver-necklace'
b'Necklace',b'Classicworks\xe2\x84\xa2 Z - Recycled Sterling Silver Necklace',b'',b'125.00',b'https://completedworks.com//products/classicworks-z-recycled-sterling-silver-necklace'
b'',b'Gift Card',b'\xc2\xa350.00',b'50.00',b'https://completedworks.com//products/holiday-gift-card'
b'',b'Gift Card',b'\xc2\xa3100.00',b'100.00',b'https://completedworks.com//products/holiday-gift-card'
b'',b'Gift Card',b'\xc2\xa3200.00',b'200.00',b'https://completedworks.com//products/holiday-gift-card'
b'',b'Gift Card',b'\xc2\xa3250.00',b'250.00',b'https://completedworks.com//products/holiday-gift-card'
